index,seriesName,network,season,title,imdb,engagement,dateAired,run.time,format,monster.name,monster.gender,mainMonsterGender,monster.type,monster.subtype,monster.species,monster.amount,caught.fred,caught.daphnie,caught.velma,caught.shaggy,caught.scooby,caught.other,num.caught,caught.not,caught,captured.fred,captured.daphnie,captured.velma,captured.shaggy,captured.scooby,num.captured,unmask.fred,unmask.daphnie,unmask.velma,unmask.shaggy,unmask.scooby,unmask.other,settingTerrain,suspects.amount,non-suspect,arrested,culprit.gender,culprit.amount,motive,if.it.wasnt.for,and.that,number.of.snacks,split.up,another.mystery,set.a.trap,jeepers,jinkies,my.glasses,just.about.wrapped.up,zoinks,groovy,scooby.doo.where.are.you,rooby.rooby.roo
1,"Scooby Doo, Where Are You!",CBS,1,What a Night for a Knight,8.1,556,9/13/1969,21,TV Series,Black Knight,Male,Male,Possessed Object,Suit,Object,1,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,2,FALSE,1,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Urban,2,FALSE,TRUE,Male,1,Theft,NULL,NULL,2,1,1,0,0,0,1,0,1,0,0,1
2,"Scooby Doo, Where Are You!",CBS,1,A Clue for Scooby Doo,8.1,479,9/20/1969,22,TV Series,Ghost of Cptn. Cuttler,Male,Male,Ghost,Suit,Human,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1,FALSE,1,TRUE,TRUE,TRUE,FALSE,FALSE,3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Coast,2,TRUE,TRUE,Male,1,Theft,NULL,NULL,1,0,0,0,0,0,0,0,3,0,1,0
3,"Scooby Doo, Where Are You!",CBS,1,Hassle in the Castle,8,455,9/27/1969,21,TV Series,Phantom,Male,Male,Ghost,Phantom,Human,1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1,FALSE,1,FALSE,FALSE,FALSE,FALSE,FALSE,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Island,0,TRUE,TRUE,Male,1,Treasure,NULL,NULL,3,0,0,0,0,0,0,0,1,2,0,0
4,"Scooby Doo, Where Are You!",CBS,1,Mine Your Own Business,7.8,426,10/4/1969,21,TV Series,Miner 49'er,Male,Male,Ancient,Miner,Human,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,FALSE,1,FALSE,FALSE,FALSE,FALSE,FALSE,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Cave,2,FALSE,TRUE,Male,1,Natural Resource,NULL,NULL,2,1,0,0,0,0,0,0,2,1,0,0
5,"Scooby Doo, Where Are You!",CBS,1,Decoy for a Dognapper,7.5,391,10/11/1969,21,TV Series,Indian Witch Doctor,Female,Female,Ancient,Witch Doctor,Human,1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1,FALSE,1,FALSE,FALSE,FALSE,FALSE,TRUE,1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Desert,1,FALSE,TRUE,Male,1,Competition,NULL,NULL,2,0,1,0,0,0,1,0,0,0,1,0
6,"Scooby Doo, Where Are You!",CBS,1,What the Hex Going On?,8.4,384,10/18/1969,21,TV Series,Ghost of Elias Kingston,Male,Male,Ghost,Phantom,Human,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,FALSE,1,FALSE,FALSE,FALSE,FALSE,FALSE,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Urban,2,FALSE,TRUE,Male,1,Extortion,NULL,NULL,4,0,0,0,1,0,0,0,2,0,0,1
7,"Scooby Doo, Where Are You!",CBS,1,Never Ape an Ape Man,7.6,358,10/25/1969,21,TV Series,Ape Man,Male,Male,Animal,Half-Human,Ape,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,FALSE,1,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Desert,1,FALSE,TRUE,Male,1,Competition,NULL,NULL,4,1,0,1,0,0,0,0,1,1,0,1
8,"Scooby Doo, Where Are You!",CBS,1,Foul Play in Funland,8.2,358,11/1/1969,21,TV Series,Charlie the Robot,Male,Male,Mechanical,Humanoid,Robot,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,1,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Urban,2,FALSE,FALSE,Female,1,Safety,NULL,NULL,0,0,0,1,0,0,1,0,0,0,1,1
9,"Scooby Doo, Where Are You!",CBS,1,The Backstage Rage,8.1,371,11/8/1969,21,TV Series,Puppet Master,Male,Male,Ghost,Pupeteer,Human,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1,FALSE,1,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Urban,1,FALSE,TRUE,Male,1,Counterfeit,NULL,NULL,1,0,0,0,0,0,0,0,0,0,0,1
10,"Scooby Doo, Where Are You!",CBS,1,Bedlam in the Big Top,8,346,11/15/1969,21,TV Series,Ghost Clown,Male,Male,Ghost,Clown,Human,1,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,2,FALSE,1,FALSE,TRUE,FALSE,TRUE,TRUE,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Forest,1,TRUE,TRUE,Male,1,Competition,NULL,NULL,0,0,0,0,0,0,0,0,0,0,2,0
